timestamp_unix,timestamp_utc,field,value
1783179667.591052,2026-07-04T17:41:07Z,light_lux,20071.6
1783179667.5915341,2026-07-04T17:41:07Z,calibrated,0.235
1783179667.591645,2026-07-04T17:41:07Z,raw_adc,49647
1783179667.591799,2026-07-04T17:41:07Z,wind_speed,15.5
1783179672.5809028,2026-07-04T17:41:12Z,temperature_c,17.1
1783179672.581194,2026-07-04T17:41:12Z,humidity_rel,74.2
1783179672.58159,2026-07-04T17:41:12Z,pressure_hpa,1016.4
1783179672.598068,2026-07-04T17:41:12Z,light_lux,20014.7
1783179672.599545,2026-07-04T17:41:12Z,calibrated,0.233
1783179672.599652,2026-07-04T17:41:12Z,raw_adc,50430
1783179672.6005518,2026-07-04T17:41:12Z,wind_speed,15.2
1783179677.585255,2026-07-04T17:41:17Z,temperature_c,16.6
1783179677.585558,2026-07-04T17:41:17Z,humidity_rel,74.9
1783179677.585928,2026-07-04T17:41:17Z,pressure_hpa,1016.2
1783179677.6040661,2026-07-04T17:41:17Z,light_lux,20450.3
1783179677.605045,2026-07-04T17:41:17Z,wind_speed,15.3
1783179677.60521,2026-07-04T17:41:17Z,calibrated,0.229
1783179677.605302,2026-07-04T17:41:17Z,raw_adc,51005
1783179682.729026,2026-07-04T17:41:22Z,temperature_c,16.9
1783179682.853158,2026-07-04T17:41:22Z,humidity_rel,74
1783179682.984502,2026-07-04T17:41:22Z,pressure_hpa,1016.6
1783179682.985536,2026-07-04T17:41:22Z,light_lux,20689.4
1783179682.986389,2026-07-04T17:41:22Z,wind_speed,13.6
1783179682.9870238,2026-07-04T17:41:22Z,calibrated,0.229
1783179682.987222,2026-07-04T17:41:22Z,raw_adc,50304
1783179687.598652,2026-07-04T17:41:27Z,temperature_c,16.9
1783179687.5989618,2026-07-04T17:41:27Z,humidity_rel,73.3
1783179687.599348,2026-07-04T17:41:27Z,pressure_hpa,1016.7
1783179687.6181068,2026-07-04T17:41:27Z,light_lux,19603.4
1783179687.61836,2026-07-04T17:41:27Z,wind_speed,13.7
1783179687.618496,2026-07-04T17:41:27Z,calibrated,0.232
1783179687.618592,2026-07-04T17:41:27Z,raw_adc,50610
1783179692.7153869,2026-07-04T17:41:32Z,temperature_c,16.9
1783179692.869676,2026-07-04T17:41:32Z,humidity_rel,74
1783179692.988361,2026-07-04T17:41:32Z,pressure_hpa,1016.6
1783179693.1128068,2026-07-04T17:41:33Z,light_lux,20280.0
1783179693.1138859,2026-07-04T17:41:33Z,calibrated,0.232
1783179693.114634,2026-07-04T17:41:33Z,wind_speed,14.8
1783179697.731713,2026-07-04T17:41:37Z,temperature_c,16.9
1783179697.853448,2026-07-04T17:41:37Z,humidity_rel,74
1783179697.981494,2026-07-04T17:41:37Z,pressure_hpa,1016.6
1783179697.981975,2026-07-04T17:41:37Z,light_lux,20200.3
1783179697.982501,2026-07-04T17:41:37Z,calibrated,0.245
1783179697.9826932,2026-07-04T17:41:37Z,raw_adc,49878
1783179697.9829628,2026-07-04T17:41:37Z,wind_speed,15.3
1783179702.7605078,2026-07-04T17:41:42Z,temperature_c,16.9
1783179702.889385,2026-07-04T17:41:42Z,humidity_rel,74
1783179703.0363321,2026-07-04T17:41:43Z,pressure_hpa,1016.6
1783179703.1650891,2026-07-04T17:41:43Z,light_lux,20280.0
1783179703.165549,2026-07-04T17:41:43Z,calibrated,0.245
1783179703.1659992,2026-07-04T17:41:43Z,wind_speed,13.9
1783179707.636925,2026-07-04T17:41:47Z,temperature_c,17.2
1783179707.6372669,2026-07-04T17:41:47Z,humidity_rel,73.1
1783179707.637702,2026-07-04T17:41:47Z,pressure_hpa,1016.4
1783179707.7767649,2026-07-04T17:41:47Z,light_lux,20280.0
1783179707.7772532,2026-07-04T17:41:47Z,wind_speed,14.7
1783179707.7776692,2026-07-04T17:41:47Z,calibrated,0.245
1783179712.7524831,2026-07-04T17:41:52Z,temperature_c,16.9
1783179712.911247,2026-07-04T17:41:52Z,humidity_rel,74
1783179713.031157,2026-07-04T17:41:53Z,pressure_hpa,1016.6
1783179713.0314949,2026-07-04T17:41:53Z,light_lux,20898.4
1783179713.031899,2026-07-04T17:41:53Z,calibrated,0.245
1783179713.032325,2026-07-04T17:41:53Z,wind_speed,15.1
1783179718.145099,2026-07-04T17:41:58Z,temperature_c,16.9
1783179718.272785,2026-07-04T17:41:58Z,humidity_rel,74
1783179718.408331,2026-07-04T17:41:58Z,pressure_hpa,1016.6
1783179718.409388,2026-07-04T17:41:58Z,light_lux,20666.4
1783179718.4100459,2026-07-04T17:41:58Z,calibrated,0.245
1783179718.410551,2026-07-04T17:41:58Z,wind_speed,14.1
1783179722.636231,2026-07-04T17:42:02Z,temperature_c,17.1
1783179722.636587,2026-07-04T17:42:02Z,humidity_rel,73.5
1783179722.637046,2026-07-04T17:42:02Z,pressure_hpa,1016.3
1783179722.776117,2026-07-04T17:42:02Z,light_lux,20280.0
1783179722.776577,2026-07-04T17:42:02Z,calibrated,0.245
1783179722.905846,2026-07-04T17:42:02Z,wind_speed,9.8
1783179727.6643279,2026-07-04T17:42:07Z,temperature_c,16.8
1783179727.664681,2026-07-04T17:42:07Z,humidity_rel,73.1
1783179727.665111,2026-07-04T17:42:07Z,pressure_hpa,1016.2
1783179727.813507,2026-07-04T17:42:07Z,light_lux,20280.0
1783179727.814053,2026-07-04T17:42:07Z,calibrated,0.228
1783179727.8147998,2026-07-04T17:42:07Z,raw_adc,50549
1783179727.815232,2026-07-04T17:42:07Z,wind_speed,14.5
1783179732.752408,2026-07-04T17:42:12Z,temperature_c,16.8
1783179732.75352,2026-07-04T17:42:12Z,humidity_rel,73.8
1783179732.7541618,2026-07-04T17:42:12Z,pressure_hpa,1016.7
1783179732.913527,2026-07-04T17:42:12Z,light_lux,20280.0
1783179732.913953,2026-07-04T17:42:12Z,calibrated,0.233
1783179732.914217,2026-07-04T17:42:12Z,raw_adc,50146
1783179732.914403,2026-07-04T17:42:12Z,wind_speed,14.4
1783179737.6555169,2026-07-04T17:42:17Z,temperature_c,16.6
1783179737.655872,2026-07-04T17:42:17Z,humidity_rel,73.9
1783179737.6562119,2026-07-04T17:42:17Z,pressure_hpa,1016.2
1783179737.783527,2026-07-04T17:42:17Z,light_lux,20280.0
1783179737.784029,2026-07-04T17:42:17Z,calibrated,0.233
1783179737.7843142,2026-07-04T17:42:17Z,wind_speed,14.5
1783179742.6724322,2026-07-04T17:42:22Z,temperature_c,17.2
1783179742.672844,2026-07-04T17:42:22Z,humidity_rel,73.7
1783179742.6732538,2026-07-04T17:42:22Z,pressure_hpa,1016.3
1783179742.85855,2026-07-04T17:42:22Z,light_lux,20280.0
1783179742.8589709,2026-07-04T17:42:22Z,calibrated,0.233
1783179742.859227,2026-07-04T17:42:22Z,raw_adc,50471
1783179742.8594298,2026-07-04T17:42:22Z,wind_speed,15.3
1783179747.663502,2026-07-04T17:42:27Z,temperature_c,16.9
1783179747.663906,2026-07-04T17:42:27Z,humidity_rel,74.3
1783179747.664211,2026-07-04T17:42:27Z,pressure_hpa,1016.6
1783179747.681916,2026-07-04T17:42:27Z,light_lux,20895.9
1783179747.682345,2026-07-04T17:42:27Z,calibrated,0.233
1783179747.682774,2026-07-04T17:42:27Z,wind_speed,14.5
1783179752.668726,2026-07-04T17:42:32Z,temperature_c,17.2
1783179752.66902,2026-07-04T17:42:32Z,humidity_rel,73.2
1783179752.669313,2026-07-04T17:42:32Z,pressure_hpa,1016.3
1783179752.685332,2026-07-04T17:42:32Z,light_lux,20145.8
1783179752.686101,2026-07-04T17:42:32Z,wind_speed,15.3
1783179752.6862369,2026-07-04T17:42:32Z,calibrated,0.236
1783179752.686305,2026-07-04T17:42:32Z,raw_adc,50303
1783179757.6884632,2026-07-04T17:42:37Z,temperature_c,17.1
1783179757.688788,2026-07-04T17:42:37Z,humidity_rel,74.6
1783179757.6890728,2026-07-04T17:42:37Z,pressure_hpa,1016.9
1783179757.8325188,2026-07-04T17:42:37Z,light_lux,20280.0
1783179757.8329961,2026-07-04T17:42:37Z,calibrated,0.235
1783179757.833228,2026-07-04T17:42:37Z,raw_adc,50378
1783179757.833482,2026-07-04T17:42:37Z,wind_speed,14.2
1783179762.70386,2026-07-04T17:42:42Z,temperature_c,16.6
1783179762.7050729,2026-07-04T17:42:42Z,humidity_rel,74.7
1783179762.706371,2026-07-04T17:42:42Z,pressure_hpa,1016.4
1783182120.9318862,2026-07-04T18:22:00Z,temperature_c,16.5
1783182120.933751,2026-07-04T18:22:00Z,humidity_rel,76.5
1783182120.933882,2026-07-04T18:22:00Z,pressure_hpa,1016.1
1783182120.949661,2026-07-04T18:22:00Z,light_lux,9564.6
1783182120.9502149,2026-07-04T18:22:00Z,wind_speed,10.9
1783182120.95053,2026-07-04T18:22:00Z,calibrated,0.233
1783182120.950631,2026-07-04T18:22:00Z,raw_adc,49863
1783182126.081459,2026-07-04T18:22:06Z,temperature_c,16.7
1783182126.1943018,2026-07-04T18:22:06Z,humidity_rel,76
1783182126.305581,2026-07-04T18:22:06Z,pressure_hpa,1016.0
1783182126.30583,2026-07-04T18:22:06Z,light_lux,8902.2
1783182126.306106,2026-07-04T18:22:06Z,calibrated,0.239
1783182126.3061771,2026-07-04T18:22:06Z,raw_adc,50122
1783182126.306292,2026-07-04T18:22:06Z,wind_speed,11.8
1783182130.939434,2026-07-04T18:22:10Z,temperature_c,16.4
1783182130.939699,2026-07-04T18:22:10Z,humidity_rel,76.0
1783182130.939967,2026-07-04T18:22:10Z,pressure_hpa,1016.3
1783182131.0778182,2026-07-04T18:22:11Z,light_lux,9240.0
1783182131.078204,2026-07-04T18:22:11Z,wind_speed,10.3
1783182131.078519,2026-07-04T18:22:11Z,calibrated,0.239
1783182135.948402,2026-07-04T18:22:15Z,temperature_c,16.7
1783182135.949594,2026-07-04T18:22:15Z,humidity_rel,75.1
1783182135.950148,2026-07-04T18:22:15Z,pressure_hpa,1015.5
1783182135.966204,2026-07-04T18:22:15Z,light_lux,9091.7
1783182135.967058,2026-07-04T18:22:15Z,calibrated,0.239
1783182135.96732,2026-07-04T18:22:15Z,wind_speed,10.2
1783182140.951849,2026-07-04T18:22:20Z,temperature_c,16.9
1783182140.952598,2026-07-04T18:22:20Z,humidity_rel,76.5
1783182140.952758,2026-07-04T18:22:20Z,pressure_hpa,1016.2
1783182140.971426,2026-07-04T18:22:20Z,light_lux,9255.8
1783182140.9721239,2026-07-04T18:22:20Z,wind_speed,10.5
1783182140.972492,2026-07-04T18:22:20Z,calibrated,0.239
1783182146.093478,2026-07-04T18:22:26Z,temperature_c,16.7
1783182146.2188091,2026-07-04T18:22:26Z,humidity_rel,76
1783182146.342866,2026-07-04T18:22:26Z,pressure_hpa,1016.0
1783182146.616373,2026-07-04T18:22:26Z,light_lux,9240.0
